idx,name,Structure,tot_size,sub_size,Hetero,ratio,facet,electrolyte,label,Pt/C,reported_tafel,SPt/C
0,PtNi5-0H2,octahedral,6.7,4.74,Ni,17:83,111,1.0M KOH,59.4011716,54.9,41.1,106.1867176
2,PtNi5-0.3H2,octahedral,27.5,19.45,Ni,79:21,111,1.0M KOH,31.17205966,54.9,19.2,106.1867176
3,PtNi5-0.5H2,octahedral,32.6,23.05,Ni,53:47,111,1.0M KOH,38.74771909,54.9,33.5,106.1867176
15,PtNi/Pt DNPs,nanodendrites,72,3,Ni,94:6,High index,1.0M KOH,63.2136266,X,X,94.03736353
16,Pt DNPs,nanodendrites,72,3,-,-,High index,1.0M KOH,69.24040161,X,X,94.03736353
18,PtW NW,nanowire,100,3.5,W,97.3:2.7,High index,1.0M KOH,66.24013295,84,29,188.5645009
19,Pt NW,nanowire,100,1.3,-,-,High index,1.0M KOH,146.0910719,84,63,188.5645009
27,PtNi,octahedral NPs ,10,10,Ni,1:1,111,1.0M KOH,183.9786867,X,131,205.6546939
28,PtNi3,octahedral,10,10,Ni,1:3,111,1.0M KOH,140.2217687,X,215,205.6546939
29,Pt3Ni,octahedral,10,10,Ni,3:1,111,1.0M KOH,67.48179589,X,201,205.6546939
30,Pt2Ni,octahedral,10,10,Ni,2:1,111,1.0M KOH,229.6592581,X,328,205.6546939
31,PtNi2,octahedral,10,10,Ni,1:2,111,1.0M KOH,51.19763855,X,43,205.6546939
33,PiNi,Thalamus-Shaped,94,45,Ni,18.5:81.5,High index,1.0M KOH,119.7712992,44,27,37.78330519
35,PtNi,nanosheets,84,84,Ni,6.9:93.1,110,1.0M KOH,51.0270844,77.5,,133.4882446
37,PtNi,octahedral,6.5,6.5,Ni,1:1,High index,1.0M KOH,123.2904579,81,,110.8036843
42,PtNi,mesoporous nanoparticles,53,5,Ni,8.5:1.5,High index,1.0M KOH,97.38237517,53.3,45.9,111.1134817
43,PtP,mesoporous nanoparticles,53,5,Ni,7.2:2.8,High index,1.0M KOH,96.13220647,53.3,52.6,111.1134817
48,PtCo,nanowire,1000,200,Co,14:5,High index,1.0M KOH,66.0652979,206,47,82.89215518
49,PtRu,nanowire,1000,200,Ru,14:1,High index,1.0M KOH,64.30617099,206,39,82.89215518
52,Ni@Pt1.3L,nanobranches,120,20,Ni,2:98,High index,1.0M KOH,51.38403313,115,66,83.43469948
53,Ni@Pt2.6L,nanobranches,120,20,Ni,3.8:96.2,High index,1.0M KOH,16.79023523,115,51,83.43469948
54,Ni@Pt3.2L,nanobranches,120,20,Ni,5:95,High index,1.0M KOH,18.34793746,115,50,83.43469948
55,Ni@Pt4.0L,nanobranches,120,20,Ni,6:94,High index,1.0M KOH,26.71403994,115,65,83.43469948
56,Ni@Pt2.6L(fcc),nanobranches,120,20,Ni,3.8:96.2,High index,1.0M KOH,42.04740987,115,,83.43469948
66,PtNi NWs,nanowire,1000,5,Ni,3:1,High index,1.0M KOH,26.11106806,"45, 141.7","40, 98",35.59978823
68,Pt3Co,NCNT,100,5,Co,3:1,High index,1.0M KOH,29.35008158,65.9,34.8,56.43189951
69,PtCo,NCNT,100,5,Co,1:1,High index,1.0M KOH,36.85563295,65.9,54.1,56.43189951
74,Pt-Ni,nanowire,1000,3,Ni,5:1,High index,1.0M KOH,31.37008591,60,,53.19955716
77,PtNi10,nanoparticle,8,8,Ni,1:10,111,1.0M KOH,99.2107994,32.86,16.73,151.4101507
79,Pt3Fe-NMCS-A,nanosphere,260,2,Fe,3:1,111,1.0M KOH,77.81308354,41,35,77.81308354
85,Pt-Ni,nanorods,100,4,Ni,5:1,111,1.0M KOH,31.12837589,60,45,65.2198859
